,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,0,ADANIENT,EQ,03-Jun-2019,154.75,154.0,161.9,151.65,158.6,159.05,157.21,7975636,1253889329.8,44818,1205288,15.11,159.05,154.0
1,1,1,1,ADANIENT,EQ,04-Jun-2019,159.05,158.15,159.3,154.5,158.0,157.6,156.96,5502910,863740630.9,30946,462021,8.4,157.6,158.15
2,2,2,2,ADANIENT,EQ,06-Jun-2019,157.6,156.9,157.8,151.2,151.75,153.15,153.9,3832155,589753127.75,22049,550283,14.36,153.15,156.9
3,3,3,3,ADANIENT,EQ,07-Jun-2019,153.15,152.95,153.55,146.8,152.0,151.35,150.09,5016442,752919062.45,28649,421025,8.39,151.35,152.95
4,4,4,4,ADANIENT,EQ,10-Jun-2019,151.35,152.0,155.5,147.0,150.1,149.95,150.98,3967379,598996463.4,23758,376103,9.48,149.95,152.0
5,5,5,5,ADANIENT,EQ,11-Jun-2019,149.95,149.5,154.25,148.35,153.8,153.6,151.7,3413094,517778315.45,20745,484091,14.18,153.6,149.5
6,6,6,6,ADANIENT,EQ,12-Jun-2019,153.6,154.0,159.35,150.55,154.6,153.2,155.15,7477081,1160081368.4,44488,750752,10.04,153.2,154.0
7,7,7,7,ADANIENT,EQ,13-Jun-2019,153.2,153.2,158.85,149.0,152.35,153.1,153.24,7968656,1221121179.65,41879,963215,12.09,153.1,153.2
8,8,8,8,ADANIENT,EQ,14-Jun-2019,153.1,156.0,156.0,151.55,152.05,152.45,153.78,6589668,1013329409.45,36381,567173,8.61,152.45,156.0
9,9,9,9,ADANIENT,EQ,17-Jun-2019,152.45,153.0,153.95,147.25,148.2,147.9,149.34,3470303,518255904.25,24073,533647,13.62,147.9,153.0
10,10,10,10,ADANIENT,EQ,18-Jun-2019,147.9,147.35,148.85,144.0,147.45,147.95,146.68,5764444,845532038.0,31823,590019,9.43,147.95,147.35
11,11,11,11,ADANIENT,EQ,19-Jun-2019,147.95,148.45,149.75,140.6,141.5,142.8,144.83,4744374,687126982.45,28162,673360,14.19,142.8,148.45
12,12,12,12,ADANIENT,EQ,20-Jun-2019,142.8,142.3,149.7,140.35,148.5,148.45,145.66,4477064,652109094.05,27337,670439,14.97,148.45,142.3
13,13,13,13,ADANIENT,EQ,21-Jun-2019,148.45,147.0,152.0,145.95,146.0,146.8,148.53,4673136,694118444.25,24867,917213,19.63,146.8,147.0
14,14,14,14,ADANIENT,EQ,24-Jun-2019,146.8,145.9,148.8,144.6,146.6,147.75,147.09,3240654,476670230.1,15888,557486,17.2,147.75,145.9
15,15,15,15,ADANIENT,EQ,25-Jun-2019,147.75,146.5,151.95,144.85,149.5,150.85,148.36,4920288,729963562.8,20915,701313,14.25,150.85,146.5
16,16,16,16,ADANIENT,EQ,26-Jun-2019,150.85,150.0,155.3,148.5,152.5,153.8,151.77,4779891,725467137.65,22805,496804,10.39,153.8,150.0
17,17,17,17,ADANIENT,EQ,27-Jun-2019,153.8,152.3,154.95,151.5,152.7,152.85,153.37,2858423,438397477.05,15600,311424,10.89,152.85,152.3
