,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,0,0,0,0,0,0,AMBUJACEM,EQ,03-Jan-2022,377.5,378.75,389.45,378.2,387.0,387.0,384.61,1643912,632257075.85,26185,456270,27.76,387.0,378.75
1,1,1,1,1,1,1,1,1,AMBUJACEM,EQ,04-Jan-2022,387.0,387.55,391.7,383.3,390.25,390.45,389.15,3034913,1181040945.5,34257,1845536,60.81,390.45,387.55
2,2,2,2,2,2,2,2,2,AMBUJACEM,EQ,05-Jan-2022,390.45,389.95,394.65,388.75,393.2,393.7,392.57,1521048,597110984.35,22402,662158,43.53,393.7,389.95
3,3,3,3,3,3,3,3,3,AMBUJACEM,EQ,06-Jan-2022,393.7,390.1,393.0,383.55,386.1,387.05,387.59,2579347,999719450.4,30633,1145407,44.41,387.05,390.1
4,4,4,4,4,4,4,4,4,AMBUJACEM,EQ,07-Jan-2022,387.05,387.05,401.95,387.05,396.55,397.25,395.66,2731750,1080856461.1,51449,910315,33.32,397.25,387.05
5,5,5,5,5,5,5,5,5,AMBUJACEM,EQ,10-Jan-2022,397.25,400.0,401.95,397.3,399.45,399.35,399.53,2408661,962324959.2,26597,1566156,65.02,399.35,400.0
6,6,6,6,6,6,6,6,6,AMBUJACEM,EQ,11-Jan-2022,399.35,401.0,405.0,393.35,396.6,397.65,398.96,2105501,840006683.9,46022,870350,41.34,397.65,401.0
7,7,7,7,7,7,7,7,7,AMBUJACEM,EQ,12-Jan-2022,397.65,398.25,402.7,395.65,397.8,397.9,398.26,1370663,545882635.25,38871,622973,45.45,397.9,398.25
8,8,8,8,8,8,8,8,8,AMBUJACEM,EQ,13-Jan-2022,397.9,399.0,400.5,394.65,397.05,396.4,397.87,2490304,990810297.15,21598,1585060,63.65,396.4,399.0
9,9,9,9,9,9,9,9,9,AMBUJACEM,EQ,14-Jan-2022,396.4,395.1,405.0,394.2,402.0,402.7,401.99,2146874,863018846.55,32589,591388,27.55,402.7,395.1
10,10,10,10,10,10,10,10,10,AMBUJACEM,EQ,17-Jan-2022,402.7,403.5,408.7,395.0,407.5,407.8,403.34,3057067,1233036126.1,55715,979858,32.05,407.8,403.5
11,11,11,11,11,11,11,11,11,AMBUJACEM,EQ,18-Jan-2022,407.8,410.0,410.0,379.0,379.95,380.65,389.61,7265319,2830621739.15,105644,3407784,46.9,380.65,410.0
12,12,12,12,12,12,12,12,12,AMBUJACEM,EQ,19-Jan-2022,380.65,381.95,382.0,373.1,375.0,374.85,375.83,3999114,1502993898.45,64168,2103686,52.6,374.85,381.95
13,13,13,13,13,13,13,13,13,AMBUJACEM,EQ,20-Jan-2022,374.85,375.25,379.8,372.45,375.9,375.1,375.01,3354873,1258118805.9,42116,1872105,55.8,375.1,375.25
14,14,14,14,14,14,14,14,14,AMBUJACEM,EQ,21-Jan-2022,375.1,374.6,374.6,364.05,369.3,368.65,369.43,1426135,526850417.95,34327,491170,34.44,368.65,374.6
15,15,15,15,15,15,15,15,15,AMBUJACEM,EQ,24-Jan-2022,368.65,368.0,371.2,349.0,351.95,352.85,354.94,4250468,1508675206.5,49829,1544097,56.69,352.85,368.0
16,16,16,16,16,16,16,16,16,AMBUJACEM,EQ,25-Jan-2022,352.85,351.95,356.5,343.45,352.0,351.5,351.36,3178488,1116790474.65,54549,1753286,55.16,351.5,351.95
17,17,17,17,17,17,17,17,17,AMBUJACEM,EQ,27-Jan-2022,351.5,350.9,354.3,340.45,351.9,351.65,348.0,2852549,992675054.95,48460,1117267,39.17,351.65,350.9
