,Close,Open,Date,Symbol
0,174.05,177.0,01-Jul-2019,VEDL
1,174.65,173.95,02-Jul-2019,VEDL
2,172.7,174.45,03-Jul-2019,VEDL
3,171.05,173.6,04-Jul-2019,VEDL
4,163.65,171.4,05-Jul-2019,VEDL
5,161.95,163.0,08-Jul-2019,VEDL
6,161.5,161.9,09-Jul-2019,VEDL
7,160.0,161.4,10-Jul-2019,VEDL
8,163.65,162.5,11-Jul-2019,VEDL
9,167.65,164.1,12-Jul-2019,VEDL
10,166.75,167.75,15-Jul-2019,VEDL
11,166.9,166.65,16-Jul-2019,VEDL
12,168.65,167.6,17-Jul-2019,VEDL
13,163.05,167.55,18-Jul-2019,VEDL
14,161.25,164.05,19-Jul-2019,VEDL
15,167.25,161.3,22-Jul-2019,VEDL
16,168.1,167.35,23-Jul-2019,VEDL
17,165.05,168.0,24-Jul-2019,VEDL
18,171.45,164.85,25-Jul-2019,VEDL
