,Unnamed: 0,Symbol,Series,Date,Prev Close,High Price,Low Price,Last Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,VEDL,EQ,01-Apr-2020,64.7,65.4,62.35,63.0,63.29,23338192,1477124032.8,92556,10828297,46.4,62.65,65.0
1,1,VEDL,EQ,03-Apr-2020,62.65,64.45,62.2,62.8,62.81,24226287,1521651576.1,77561,10283934,42.45,62.8,64.0
2,2,VEDL,EQ,07-Apr-2020,62.8,67.7,65.1,66.45,66.49,45746171,3041665821.9,124903,21581131,47.18,66.75,66.3
3,3,VEDL,EQ,08-Apr-2020,66.75,73.4,65.0,70.4,69.91,49394737,3453383378.5,163600,10835149,21.94,70.3,65.95
4,4,VEDL,EQ,09-Apr-2020,70.3,77.3,72.8,77.3,75.06,41602363,3122603213.3,146666,11243694,27.03,76.8,73.0
5,5,VEDL,EQ,13-Apr-2020,76.8,79.45,73.65,78.0,76.77,37471015,2876463073.25,116695,6712039,17.91,78.3,77.6
6,6,VEDL,EQ,15-Apr-2020,78.3,83.2,77.6,79.15,80.31,43610924,3502227247.85,154487,9523658,21.84,78.6,79.5
7,7,VEDL,EQ,16-Apr-2020,78.6,84.65,77.15,82.65,82.96,54489625,4520205147.6,175839,13933776,25.57,82.7,77.8
8,8,VEDL,EQ,17-Apr-2020,82.7,87.0,82.85,84.4,84.13,30176554,2538828689.4,109316,6274761,20.79,84.1,87.0
9,9,VEDL,EQ,20-Apr-2020,84.1,86.45,80.8,81.5,83.82,33264777,2788217152.95,125591,8821244,26.52,81.45,86.45
10,10,VEDL,EQ,21-Apr-2020,81.45,79.5,73.8,77.9,76.76,44069545,3382685036.95,163128,6443429,14.62,78.45,77.4
11,11,VEDL,EQ,22-Apr-2020,78.45,77.2,73.35,76.45,75.11,37108747,2787121669.1,128903,6231630,16.79,76.1,75.95
12,12,VEDL,EQ,23-Apr-2020,76.1,78.55,76.6,77.55,77.69,24258405,1884609967.15,91607,3795770,15.65,77.6,77.75
13,13,VEDL,EQ,24-Apr-2020,77.6,80.25,75.7,78.3,78.81,33734788,2658515445.55,111054,5151653,15.27,77.95,76.8
14,14,VEDL,EQ,27-Apr-2020,77.95,79.9,78.15,78.45,78.94,16789673,1325367242.3,61060,2687168,16.0,78.45,78.8
15,15,VEDL,EQ,28-Apr-2020,78.45,78.8,75.8,76.8,76.72,33514515,2571331206.4,111932,11232964,33.52,76.85,78.5
16,16,VEDL,EQ,29-Apr-2020,76.85,79.95,77.0,79.25,78.93,27243902,2150421964.75,101105,6858011,25.17,79.15,77.05
17,17,VEDL,EQ,30-Apr-2020,79.15,91.0,81.5,88.8,85.74,63687038,5460503372.9,217388,16629345,26.11,89.55,82.0
