Date,Expiry,Strike Price,Returns
10-Jan-2018,22-Feb-2018,25000,0.0054350779933642615
08-Mar-2018,26-Apr-2018,24000,inf
09-Mar-2018,26-Apr-2018,24000,13.51063829787234
16-Mar-2018,26-Apr-2018,24000,-16.847285482435474
21-Mar-2018,26-Apr-2018,24000,-10.335844539885937
22-Mar-2018,26-Apr-2018,24000,-24.032937571811573
18-Apr-2018,26-Apr-2018,24000,1.6702848788268252
16-May-2018,28-Jun-2018,25000,-5.893536121673003
17-May-2018,28-Jun-2018,25000,-4.7844827586206895
18-May-2018,28-Jun-2018,25000,-14.166666666666666
21-May-2018,28-Jun-2018,25000,2.0981087470449125
22-May-2018,28-Jun-2018,25000,-15.898447128420015
23-May-2018,28-Jun-2018,25000,24.487612612612615
29-May-2018,28-Jun-2018,25000,15.817777777777781
30-May-2018,28-Jun-2018,25000,15.956638133324526
05-Jun-2018,28-Jun-2018,25000,11.064332087349984
15-Jun-2018,28-Jun-2018,25000,2.9629629629629632
19-Jun-2018,28-Jun-2018,25000,20.95708317508546
16-Jul-2018,30-Aug-2018,26000,18.829212300923036
18-Jul-2018,30-Aug-2018,26000,-7.304347826086957
19-Jul-2018,30-Aug-2018,26000,3.4626038781163437
20-Jul-2018,30-Aug-2018,26000,2.127659574468085
01-Aug-2018,30-Aug-2018,26000,-4.2499999999999964
02-Aug-2018,30-Aug-2018,26000,13.970941980178964
13-Aug-2018,30-Aug-2018,26000,2.481389578163772
24-Aug-2018,30-Aug-2018,26000,1.1204797547118723
06-Sep-2018,25-Oct-2018,27000,2.029312288613303
25-Sep-2018,25-Oct-2018,27000,-26.258992805755398
26-Sep-2018,25-Oct-2018,27000,-52.96411856474259
03-Oct-2018,25-Oct-2018,27000,-6.142034548944343
04-Oct-2018,25-Oct-2018,27000,31.020408163265312
05-Oct-2018,25-Oct-2018,27000,-8.443271767810016
10-Oct-2018,25-Oct-2018,27000,124.03846153846155
12-Oct-2018,25-Oct-2018,27000,-19.952494061757715
15-Oct-2018,25-Oct-2018,27000,-25.82417582417582
17-Oct-2018,25-Oct-2018,27000,62.68656716417911
22-Oct-2018,25-Oct-2018,27000,40.0
12-Nov-2018,27-Dec-2018,25000,20.467384481676408
20-Nov-2018,27-Dec-2018,25000,9.816620323114291
22-Nov-2018,27-Dec-2018,25000,15.955882352941176
04-Dec-2018,27-Dec-2018,25000,-1.737418196559912
05-Dec-2018,27-Dec-2018,25000,-8.57732920289131
21-Dec-2018,27-Dec-2018,25000,-4.834339369550633
